time,wx,wy,wz
200201,-1.9,-42.6,-0.7
200208,-5.8,-49.4,14.6
200214,2.3,-56.6,23.5
200220,14.7,-66.6,26.8
200226,13.0,-83.0,7.7
200233,1.8,-7.0,5.2
200239,0.3,-10.0,7.0
200245,6.7,-3.3,9.3
200251,6.5,-12.1,16.1
200258,3.7,-8.1,15.9
200264,3.0,5.3,13.8
200270,2.8,-2.9,8.7
200276,5.1,2.5,0.3
200283,3.6,-23.9,13.3
200289,5.8,-14.0,12.6
200295,13.7,-18.9,22.6
200301,32.1,-58.0,34.0
200308,65.6,-86.8,64.8
200314,106.2,-167.5,125.9
200320,140.9,-206.2,168.1
